epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.692259,2.38138,0,0.57143,2.39983,0,0,0
2,1.77397,2.34672,0,0.57143,2.39622,7.06931e-06,7.06931e-06,7.06931e-06
3,2.36668,2.3095,0,0.57143,2.38954,1.39973e-05,1.39973e-05,1.39973e-05
4,2.97413,2.3012,0,0.57143,2.3906,2.07838e-05,2.07838e-05,2.07838e-05
5,3.54504,2.36944,0,0.57143,2.38742,2.7429e-05,2.7429e-05,2.7429e-05
6,4.17974,2.36841,0,0.57143,2.38121,3.39329e-05,3.39329e-05,3.39329e-05
7,4.81949,2.29855,0,0.57143,2.37212,4.02953e-05,4.02953e-05,4.02953e-05
8,5.42649,2.2892,0.14286,0.42857,2.35925,4.65164e-05,4.65164e-05,4.65164e-05
9,6.0139,2.30577,0.14286,0.42857,2.34223,5.25961e-05,5.25961e-05,5.25961e-05
10,6.63327,2.31422,0.14286,0.42857,2.31823,5.85344e-05,5.85344e-05,5.85344e-05
11,7.21291,2.16833,0.28571,0.42857,2.29049,6.43314e-05,6.43314e-05,6.43314e-05
12,7.79903,2.21484,0.28571,0.42857,2.26491,6.9987e-05,6.9987e-05,6.9987e-05
13,8.38739,2.19386,0.42857,0.57143,2.23608,7.55012e-05,7.55012e-05,7.55012e-05
14,9.15103,2.10922,0.42857,0.57143,2.20745,8.08741e-05,8.08741e-05,8.08741e-05
15,9.72075,2.19443,0.42857,0.71429,2.17683,8.61055e-05,8.61055e-05,8.61055e-05
16,10.2975,2.15714,0.42857,0.71429,2.1442,9.11957e-05,9.11957e-05,9.11957e-05
17,10.8584,2.03487,0.42857,0.85714,2.1064,9.61444e-05,9.61444e-05,9.61444e-05
18,11.3859,2.03523,0.42857,0.85714,2.1064,0.000100952,0.000100952,0.000100952
19,11.9849,2.10241,0.42857,0.85714,2.06095,0.000105618,0.000105618,0.000105618
20,12.5362,2.06882,0.42857,0.85714,2.06095,0.000110142,0.000110142,0.000110142
21,13.1754,2.10964,0.42857,0.85714,2.00611,0.000114526,0.000114526,0.000114526
22,13.7278,2.12935,0.42857,0.85714,2.00611,0.000118767,0.000118767,0.000118767
23,14.3485,1.89654,0.42857,0.85714,1.9509,0.000122868,0.000122868,0.000122868
24,14.9127,1.93876,0.42857,0.85714,1.9509,0.000126827,0.000126827,0.000126827
25,15.5259,1.94084,0.57143,0.85714,1.89997,0.000130645,0.000130645,0.000130645
26,16.1029,1.92458,0.57143,0.85714,1.89997,0.000134321,0.000134321,0.000134321
27,16.7424,1.93428,0.57143,0.85714,1.83313,0.000137856,0.000137856,0.000137856
28,17.3962,1.82937,0.57143,0.85714,1.83313,0.00014125,0.00014125,0.00014125
29,17.9762,1.89659,0.71429,0.85714,1.77361,0.000144502,0.000144502,0.000144502
30,18.563,1.96651,0.71429,0.85714,1.77361,0.000147613,0.000147613,0.000147613
31,19.1365,1.97285,0.71429,1,1.71534,0.000150583,0.000150583,0.000150583
32,19.7223,1.81636,0.71429,1,1.71534,0.000153411,0.000153411,0.000153411
33,20.315,1.7117,0.71429,1,1.6432,0.000156098,0.000156098,0.000156098
