epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5679,2.16148,3.89845,1.89892,0.00112,0.08333,0.00187,0.00047,1.7996,4.16478,1.92613,1.25e-05,1.25e-05,1.25e-05
2,47.9231,1.99949,4.0025,1.78993,0.00162,0.12037,0.00233,0.00097,1.6608,4.09748,1.78168,3.73144e-05,3.73144e-05,3.73144e-05
3,67.5214,1.98895,3.79063,1.80849,0.00312,0.23148,0.00915,0.00374,1.49836,3.9617,1.59026,6.18813e-05,6.18813e-05,6.18813e-05
4,86.8549,1.70829,3.68716,1.52859,0.00608,0.4537,0.08055,0.04302,1.20482,3.76476,1.28122,8.62006e-05,8.62006e-05,8.62006e-05
5,105.235,1.43284,3.48529,1.36846,0.00851,0.62963,0.25019,0.15455,1.04947,3.6081,1.10334,0.000110272,0.000110272,0.000110272
6,121.612,1.28691,3.32565,1.29819,0.00981,0.71296,0.30443,0.18933,1.00834,3.54253,1.05174,0.000134097,0.000134097,0.000134097
7,139.083,1.18277,3.05347,1.1692,0.01079,0.74074,0.31988,0.20753,0.97829,3.46633,1.01236,0.000157674,0.000157674,0.000157674
8,155.915,1.06287,2.66138,1.09764,0.0118,0.77778,0.32815,0.21352,0.9739,3.39037,1.0253,0.000181003,0.000181003,0.000181003
9,173.583,1.12264,2.24162,1.12388,0.69296,0.21296,0.33815,0.21392,1.01048,3.37249,1.07877,0.000204085,0.000204085,0.000204085
10,189.859,1.19664,2.28452,1.17764,0.97814,0.09684,0.35704,0.23534,0.99275,3.3079,1.09373,0.000226919,0.000226919,0.000226919
11,206.169,1.21465,2.07153,1.14734,0.9747,0.08234,0.37606,0.25619,0.9817,3.23764,1.10236,0.000249506,0.000249506,0.000249506
12,223.484,1.12616,1.98198,1.15694,0.98026,0.10816,0.40244,0.26885,0.96962,3.13723,1.06516,0.000271846,0.000271846,0.000271846
13,241.995,1.14189,1.89945,1.17674,0.01197,0.82407,0.41522,0.28476,0.94563,3.0904,1.02532,0.000293937,0.000293937,0.000293937
14,258.429,1.18354,1.92182,1.19991,0.01233,0.85185,0.42517,0.2961,0.95195,3.05988,1.00178,0.000315782,0.000315782,0.000315782
15,275.113,1.15155,1.72797,1.15473,0.01246,0.85185,0.43594,0.30468,0.98413,3.04877,1.00949,0.000337379,0.000337379,0.000337379
16,292.136,1.09532,1.65354,1.11025,0.01223,0.82407,0.45402,0.29619,1.00872,3.05748,1.02269,0.000358728,0.000358728,0.000358728
17,308.011,1.1259,1.79026,1.1469,0.01238,0.83333,0.4657,0.31272,0.99863,3.01367,1.00131,0.00037983,0.00037983,0.00037983
18,323.726,1.03553,1.4996,1.06822,0.01313,0.86111,0.48751,0.33016,1.01291,2.94106,0.99645,0.000400684,0.000400684,0.000400684
19,343.644,1.0226,1.49915,1.07587,0.01424,0.92593,0.51691,0.34732,1.04296,2.88307,1.01814,0.000421291,0.000421291,0.000421291
20,362.22,1.03578,1.37655,1.0223,0.50656,0.58296,0.51782,0.36271,1.02146,2.81739,1.01639,0.000441651,0.000441651,0.000441651
21,379.804,1.04443,1.41065,1.07489,0.58877,0.26271,0.51454,0.35324,1.02219,2.80951,1.02235,0.000461763,0.000461763,0.000461763
22,395.915,1.02604,1.45055,1.05399,0.62772,0.16646,0.50939,0.33358,1.04712,2.88472,1.03783,0.000481627,0.000481627,0.000481627
