epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.159,1.86447,4.6601,1.33782,0,0,0,0,1.24287,4.43935,1.25991,5.555e-05,5.555e-05,5.555e-05
2,96.9209,1.27751,3.72445,0.98977,0.0014,0.1,0.00158,0.00055,0.832,3.99844,0.87286,0.00011979,0.00011979,0.00011979
3,138.307,1.09468,1.97763,0.87605,0.00629,0.43,0.04195,0.01788,0.99226,3.89247,0.87202,0.000181391,0.000181391,0.000181391
4,182.647,1.0011,1.23935,0.85946,0.00728,0.455,0.05799,0.04289,0.74388,3.79713,0.83572,0.000240352,0.000240352,0.000240352
5,223.923,1.00128,1.17122,0.87797,0.00369,0.24,0.04206,0.03361,0.69282,3.82887,0.83404,0.000296673,0.000296673,0.000296673
6,263.962,0.95021,0.97513,0.87246,0.00246,0.2,0.0675,0.05238,0.77702,3.86922,0.87057,0.000350354,0.000350354,0.000350354
7,305.287,0.89796,0.99765,0.88441,0.00195,0.2,0.06484,0.05085,0.69151,3.85851,0.84169,0.000401395,0.000401395,0.000401395
8,345.103,0.78259,0.81075,0.85088,0.00166,0.2,0.05527,0.0425,0.69186,3.86549,0.84186,0.000449797,0.000449797,0.000449797
9,385.25,0.75699,0.79486,0.85591,0.0018,0.2,0.06439,0.04722,0.65364,3.88677,0.83914,0.000495559,0.000495559,0.000495559
10,425.264,0.68927,0.76806,0.8428,0.00198,0.2,0.05005,0.03834,0.63566,3.92803,0.84112,0.000538682,0.000538682,0.000538682
11,465.391,0.74356,0.76766,0.859,0.04131,0.09,0.0494,0.04009,0.70022,3.94742,0.85725,0.000579164,0.000579164,0.000579164
12,506.386,0.80167,0.7658,0.84129,0.04036,0.05312,0.04689,0.03869,0.64394,3.95212,0.84632,0.000617007,0.000617007,0.000617007
13,546.322,0.77313,0.75377,0.83799,0.04116,0.11,0.04871,0.03947,0.63683,3.98144,0.84991,0.00065221,0.00065221,0.00065221
14,586.018,0.76966,0.71311,0.85678,0.05804,0.1,0.09126,0.07543,0.68987,3.93219,0.85963,0.000684774,0.000684774,0.000684774
15,626.008,0.69703,0.66866,0.84318,0.26617,0.09,0.08347,0.07056,0.6219,3.89862,0.85482,0.000714697,0.000714697,0.000714697
16,666.084,0.72744,0.66406,0.84951,0.87084,0.075,0.08396,0.07117,0.6302,3.90674,0.86096,0.000741981,0.000741981,0.000741981
17,706.781,0.7218,0.65581,0.84399,0.84061,0.19,0.07715,0.06541,0.63271,3.91432,0.86128,0.000759035,0.000759035,0.000759035
18,746.74,0.72897,0.64602,0.85367,0.84028,0.2,0.06501,0.05369,0.59074,3.98787,0.86108,0.000737037,0.000737037,0.000737037
19,786.69,0.72425,0.63854,0.83721,0.84272,0.175,0.06386,0.05178,0.62402,4.03913,0.87028,0.00071504,0.00071504,0.00071504
20,826.622,0.6926,0.63313,0.82588,0.8416,0.195,0.05559,0.04578,0.68715,4.17619,0.89883,0.000693042,0.000693042,0.000693042
21,866.592,0.6839,0.62155,0.84201,0.84083,0.195,0.05339,0.04365,0.64771,4.21341,0.88477,0.000671044,0.000671044,0.000671044
22,906.564,0.68495,0.60778,0.83411,0.84172,0.2,0.06286,0.05208,0.60462,4.28864,0.86949,0.000649046,0.000649046,0.000649046
23,946.972,0.66909,0.61273,0.83276,0.84183,0.2,0.05509,0.04589,0.61224,4.26801,0.87412,0.000627048,0.000627048,0.000627048
24,987.458,0.68192,0.60213,0.84803,0.8413,0.2,0.05289,0.0447,0.65303,4.15023,0.8776,0.000605051,0.000605051,0.000605051
25,1028.38,0.72102,0.6255,0.83892,0.84444,0.135,0.05769,0.04756,0.72892,4.15604,0.88532,0.000583053,0.000583053,0.000583053
26,1068.6,0.67782,0.58987,0.83309,0.84581,0.15896,0.06325,0.05148,0.61266,4.09567,0.87183,0.000561055,0.000561055,0.000561055
27,1108.6,0.63512,0.59764,0.83878,0.84601,0.18,0.06397,0.05103,0.6293,4.16619,0.8757,0.000539057,0.000539057,0.000539057
28,1149.09,0.68695,0.55073,0.82295,0.84622,0.185,0.05998,0.04824,0.66621,4.41088,0.88106,0.000517059,0.000517059,0.000517059
29,1189.72,0.65667,0.5543,0.83875,0.84643,0.165,0.05955,0.04929,0.64429,4.50016,0.87625,0.000495062,0.000495062,0.000495062
30,1230.27,0.63714,0.55681,0.84182,0.84538,0.17,0.06083,0.05069,0.63006,4.48172,0.87896,0.000473064,0.000473064,0.000473064
31,1290.62,0.63806,0.53643,0.83255,0.84415,0.165,0.06045,0.05048,0.60138,4.43233,0.87372,0.000451066,0.000451066,0.000451066
32,1330.83,0.60856,0.54707,0.83294,0.84,0.2,0.0609,0.05155,0.57438,4.35057,0.86988,0.000429068,0.000429068,0.000429068
33,1371.47,0.63969,0.53109,0.80877,0.8401,0.2,0.05731,0.04863,0.57181,4.31746,0.86943,0.00040707,0.00040707,0.00040707
34,1412.57,0.6121,0.54696,0.81709,0.84,0.2,0.05004,0.04296,0.57882,4.33161,0.86648,0.000385073,0.000385073,0.000385073
35,1452.75,0.60496,0.50988,0.81422,0.83999,0.2,0.04533,0.03809,0.58379,4.43264,0.86651,0.000363075,0.000363075,0.000363075
36,1494.75,0.5932,0.52161,0.82908,0.83999,0.2,0.043,0.03652,0.57328,4.5196,0.866,0.000341077,0.000341077,0.000341077
37,1535.35,0.62114,0.50652,0.81733,0.83999,0.2,0.04301,0.03643,0.56438,4.52188,0.8635,0.000319079,0.000319079,0.000319079
38,1575.61,0.59889,0.50262,0.83205,0.84,0.2,0.04947,0.042,0.57163,4.51051,0.86521,0.000297081,0.000297081,0.000297081
39,1615.99,0.60475,0.49999,0.81882,0.83999,0.2,0.05093,0.04298,0.58102,4.51308,0.86693,0.000275084,0.000275084,0.000275084
40,1660.56,0.57161,0.4833,0.8241,0.84,0.2,0.04734,0.03983,0.57373,4.53384,0.86385,0.000253086,0.000253086,0.000253086
41,1701.44,0.56975,0.51831,0.80573,0.84,0.2,0.0468,0.03927,0.57063,4.53114,0.86412,0.000231088,0.000231088,0.000231088
42,1741.15,0.54467,0.50607,0.80478,0.84017,0.19,0.0461,0.03786,0.5945,4.46525,0.87004,0.00020909,0.00020909,0.00020909
43,1780.57,0.56771,0.50748,0.81703,0.84278,0.19,0.04739,0.03849,0.60105,4.4599,0.87089,0.000187092,0.000187092,0.000187092
44,1820.28,0.55324,0.50343,0.80823,0.84247,0.19,0.04657,0.03842,0.58821,4.46288,0.86557,0.000165095,0.000165095,0.000165095
45,1861.66,0.55419,0.50245,0.82456,0.83972,0.19,0.04394,0.03718,0.57778,4.47986,0.86384,0.000143097,0.000143097,0.000143097
46,1902.42,0.55364,0.48994,0.80652,0.84,0.2,0.04258,0.03612,0.57378,4.56597,0.86427,0.000121099,0.000121099,0.000121099
47,1943.05,0.55182,0.47839,0.83041,0.83999,0.2,0.0422,0.03535,0.57447,4.58776,0.86493,9.91012e-05,9.91012e-05,9.91012e-05
48,1982.99,0.54915,0.48235,0.81053,0.83999,0.2,0.04221,0.03542,0.57686,4.59493,0.86552,7.71034e-05,7.71034e-05,7.71034e-05
49,2022.3,0.55223,0.48479,0.81876,0.83999,0.2,0.04502,0.03803,0.57825,4.59373,0.86571,5.51056e-05,5.51056e-05,5.51056e-05
50,2061.92,0.54005,0.47676,0.79799,0.84,0.2,0.04468,0.0377,0.57636,4.61042,0.86584,3.31078e-05,3.31078e-05,3.31078e-05
