epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9798,1.78563,3.7811,1.29994,0.01573,0.94375,0.02983,0.01541,1.05965,3.54655,1.00841,0.0001,0.0001,0.0001
2,101.878,1.1507,2.52894,0.93734,0.01667,1,0.40622,0.23477,0.9719,3.07344,0.83448,0.000217822,0.000217822,0.000217822
3,144.424,0.96828,1.19033,0.88421,0.01667,1,0.99413,0.75573,0.84897,2.56749,0.82165,0.000333268,0.000333268,0.000333268
4,184.976,0.93362,0.97667,0.85936,0.03918,1,0.97046,0.74436,0.79591,2.6515,0.8223,0.000446338,0.000446338,0.000446338
5,226.893,0.86121,0.90742,0.85454,0.02039,1,0.85777,0.68262,0.79778,2.63937,0.81776,0.000557032,0.000557032,0.000557032
6,267.698,0.90364,0.83752,0.87845,0.01667,1,0.7377,0.54228,0.90815,2.54247,0.85009,0.00066535,0.00066535,0.00066535
7,308.25,0.9095,0.82178,0.86895,0.4279,0.275,0.31564,0.24712,0.83534,2.49458,0.82841,0.000771292,0.000771292,0.000771292
8,354.908,0.85154,0.77564,0.86647,0.35841,0.90625,0.37138,0.30296,0.74232,2.39647,0.81405,0.000874858,0.000874858,0.000874858
9,399.164,0.80606,0.71522,0.86356,0.94914,0.69978,0.94831,0.77586,0.72593,2.2373,0.81245,0.000976048,0.000976048,0.000976048
10,442.607,0.79664,0.71988,0.86218,1,0.27936,0.99192,0.76849,0.77544,2.37584,0.82187,0.00107486,0.00107486,0.00107486
11,484.466,0.78106,0.73494,0.87959,1,0.39728,0.995,0.80222,0.71646,2.09335,0.816,0.0011713,0.0011713,0.0011713
12,526.789,0.82057,0.68249,0.86246,1,0.78111,0.995,0.78871,0.74178,1.83459,0.83586,0.00126536,0.00126536,0.00126536
13,569.372,0.82354,0.67857,0.86879,1,0.7506,0.99494,0.79781,0.73244,1.82188,0.81908,0.00135705,0.00135705,0.00135705
14,611.937,0.81692,0.69606,0.87936,1,0.92463,0.995,0.81674,0.65715,1.57119,0.80889,0.00144636,0.00144636,0.00144636
15,655.961,0.79166,0.64517,0.86162,0.99833,1,0.995,0.80823,0.69368,1.40408,0.81343,0.00153329,0.00153329,0.00153329
16,700.75,0.80583,0.66194,0.85653,0.99768,1,0.995,0.81921,0.69941,1.15465,0.819,0.00161785,0.00161785,0.00161785
17,743.356,0.79874,0.66193,0.85636,0.99701,1,0.995,0.80255,0.7157,1.15151,0.81578,0.0016832,0.0016832,0.0016832
18,786.973,0.78298,0.65963,0.8516,0.9988,1,0.995,0.82132,0.67763,0.83341,0.80957,0.0016634,0.0016634,0.0016634
19,833.444,0.72933,0.60217,0.83553,0.99928,1,0.995,0.83804,0.64164,0.7085,0.8088,0.0016436,0.0016436,0.0016436
20,876.561,0.71384,0.61193,0.85452,0.99906,1,0.995,0.8256,0.73774,0.72868,0.83188,0.0016238,0.0016238,0.0016238
21,917.491,0.72427,0.59977,0.85042,0.99918,1,0.995,0.85092,0.64653,0.70222,0.81634,0.001604,0.001604,0.001604
22,957.735,0.74891,0.61843,0.85769,0.99943,1,0.995,0.83722,0.70195,0.64952,0.83016,0.0015842,0.0015842,0.0015842
23,999.666,0.73988,0.6053,0.84787,0.99937,1,0.995,0.83896,0.67327,0.63656,0.82943,0.0015644,0.0015644,0.0015644
24,1039.9,0.72641,0.62883,0.86015,0.99935,1,0.995,0.84082,0.64074,0.63326,0.82544,0.0015446,0.0015446,0.0015446
25,1082.49,0.72539,0.58721,0.84105,0.9992,1,0.995,0.837,0.63493,0.63585,0.82104,0.0015248,0.0015248,0.0015248
26,1123.15,0.68967,0.57199,0.84991,0.99936,1,0.995,0.86126,0.5962,0.57678,0.8208,0.001505,0.001505,0.001505
27,1163.99,0.67823,0.54769,0.84733,0.99955,1,0.995,0.84887,0.62086,0.5683,0.82745,0.0014852,0.0014852,0.0014852
28,1204.02,0.68731,0.5326,0.83191,0.9996,1,0.995,0.82852,0.66876,0.54854,0.82715,0.0014654,0.0014654,0.0014654
29,1244.06,0.69895,0.51866,0.84114,0.99959,1,0.995,0.84895,0.60156,0.54959,0.811,0.0014456,0.0014456,0.0014456
30,1286.36,0.70339,0.52385,0.85306,0.99957,1,0.995,0.86539,0.59798,0.52431,0.81319,0.0014258,0.0014258,0.0014258
31,1327.4,0.72033,0.53336,0.85271,0.99957,1,0.995,0.82349,0.69036,0.53687,0.83522,0.001406,0.001406,0.001406
32,1369.52,0.66443,0.52421,0.84135,0.9996,1,0.995,0.85741,0.58273,0.51355,0.80971,0.0013862,0.0013862,0.0013862
